id,conversation
g_083,야 운동 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 시간 나면 놀자! 오케이 몇 시에? 그럼 내일 보자~ 좋아 기대된다ㅋㅋ
g_084,야 게임 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 같이 보러 가자 콜ㅋㅋ 카톡 줘 일정 맞춰보자 좋아 기대된다ㅋㅋ
g_085,야 영화 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 그럼 내일 보자~ 좋아 기대된다ㅋㅋ
g_086,야 가족 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 좋지 요즘 너무 바빴는데 딱이야 그럼 내일 보자~ 알았어 기다릴게!
g_087,야 가족 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 오케이 몇 시에? 오늘 저녁 어때? 알았어 기다릴게!
g_088,야 영화 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 근처 카페 갈래? 오케이 몇 시에? 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_089,야 날씨 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 콜ㅋㅋ 카톡 줘 일정 맞춰보자 오랜만이라 좋다!
g_090,야 커피 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 근처 카페 갈래? 콜ㅋㅋ 카톡 줘 일정 맞춰보자 알았어 기다릴게!
g_091,야 반려동물 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 근처 카페 갈래? 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 알았어 기다릴게!
g_092,야 취미 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 그럼 연락하자~
g_093,야 반려동물 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 근처 카페 갈래? 좋아 나도 심심했어 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_094,야 여행 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 근처 카페 갈래? 콜ㅋㅋ 주말에 보자! 알았어 기다릴게!
g_095,야 공부 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 콜ㅋㅋ 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_096,야 가족 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 알았어 기다릴게!
g_097,야 커피 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 오늘 저녁 어때? 알았어 기다릴게!
g_098,야 학교 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 알았어 기다릴게!
g_099,야 공부 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 사진 찍으러 갈까? 오케이 몇 시에? 그럼 내일 보자~ 알았어 기다릴게!
g_100,야 커피 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 사진 찍으러 갈까? 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 오랜만이라 좋다!
g_101,야 영화 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 좋아 나도 심심했어 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_102,야 영화 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 같이 보러 가자 콜ㅋㅋ 그럼 내일 보자~ 좋아 기대된다ㅋㅋ
g_103,야 운동 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 같이 보러 가자 콜ㅋㅋ 카톡 줘 일정 맞춰보자 알았어 기다릴게!
g_104,야 식사 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 시간 나면 놀자! 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 알았어 기다릴게!
g_105,야 드라마 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 콜ㅋㅋ 주말에 보자! 알았어 기다릴게!
g_106,야 운동 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 사진 찍으러 갈까? 좋지 요즘 너무 바빴는데 딱이야 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_107,야 학교 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 근처 카페 갈래? 오케이 몇 시에? 주말에 보자! 오랜만이라 좋다!
g_108,야 패션 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 근처 카페 갈래? 콜ㅋㅋ 오늘 저녁 어때? 오랜만이라 좋다!
g_109,야 휴대폰 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 콜ㅋㅋ 카톡 줘 일정 맞춰보자 좋아 기대된다ㅋㅋ
g_110,야 여행 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 근처 카페 갈래? 오케이 몇 시에? 그럼 내일 보자~ 알았어 기다릴게!
g_111,야 취미 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 좋아 기대된다ㅋㅋ
g_112,야 커피 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 시간 나면 놀자! 콜ㅋㅋ 그럼 내일 보자~ 오랜만이라 좋다!
g_113,야 공부 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 좋아 나도 심심했어 주말에 보자! 오랜만이라 좋다!
g_114,야 가족 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 사진 찍으러 갈까? 좋아 나도 심심했어 주말에 보자! 좋아 기대된다ㅋㅋ
g_115,야 산책 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 오케이 몇 시에? 그럼 내일 보자~ 그럼 연락하자~
g_116,야 패션 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 오랜만이라 좋다!
g_117,야 식사 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 오케이 몇 시에? 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_118,야 커피 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 좋지 요즘 너무 바빴는데 딱이야 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_119,야 게임 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 같이 보러 가자 좋아 나도 심심했어 주말에 보자! 좋아 기대된다ㅋㅋ
g_120,야 커피 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 근처 카페 갈래? 좋아 나도 심심했어 그럼 내일 보자~ 그럼 연락하자~
g_121,야 날씨 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 콜ㅋㅋ 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_122,야 휴대폰 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 같이 보러 가자 오케이 몇 시에? 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_123,야 휴대폰 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 오케이 몇 시에? 그럼 내일 보자~ 그럼 연락하자~
g_124,야 가족 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 좋지 요즘 너무 바빴는데 딱이야 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_125,야 사진 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 콜ㅋㅋ 주말에 보자! 오랜만이라 좋다!
g_126,야 가족 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 콜ㅋㅋ 그럼 내일 보자~ 오랜만이라 좋다!
g_127,야 공부 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 오랜만이라 좋다!
g_128,야 날씨 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 오랜만이라 좋다!
g_129,야 여행 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 같이 보러 가자 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 좋아 기대된다ㅋㅋ
g_130,야 운동 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 근처 카페 갈래? 좋아 나도 심심했어 오늘 저녁 어때? 알았어 기다릴게!
g_131,야 패션 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 오케이 몇 시에? 카톡 줘 일정 맞춰보자 좋아 기대된다ㅋㅋ
g_132,야 반려동물 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 시간 나면 놀자! 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 좋아 기대된다ㅋㅋ
g_133,야 학교 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 사진 찍으러 갈까? 오케이 몇 시에? 오늘 저녁 어때? 알았어 기다릴게!
g_134,야 휴대폰 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 알았어 기다릴게!
g_135,야 운동 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 콜ㅋㅋ 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_136,야 음악 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 오늘 저녁 어때? 그럼 연락하자~
g_137,야 드라마 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 알았어 기다릴게!
g_138,야 가족 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 그럼 연락하자~
g_139,야 공부 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 좋아 나도 심심했어 그럼 내일 보자~ 알았어 기다릴게!
g_140,야 책 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 오케이 몇 시에? 주말에 보자! 오랜만이라 좋다!
g_141,야 날씨 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 오늘 저녁 어때? 알았어 기다릴게!
g_142,야 드라마 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 오케이 몇 시에? 카톡 줘 일정 맞춰보자 오랜만이라 좋다!
g_143,야 패션 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 사진 찍으러 갈까? 좋아 나도 심심했어 그럼 내일 보자~ 오랜만이라 좋다!
g_144,야 패션 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 콜ㅋㅋ 오늘 저녁 어때? 오랜만이라 좋다!
g_145,야 운동 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 오랜만이라 좋다!
g_146,야 취미 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 근처 카페 갈래? 콜ㅋㅋ 오늘 저녁 어때? 그럼 연락하자~
g_147,야 책 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 근처 카페 갈래? 오케이 몇 시에? 그럼 내일 보자~ 좋아 기대된다ㅋㅋ
g_148,야 학교 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 좋지 요즘 너무 바빴는데 딱이야 카톡 줘 일정 맞춰보자 알았어 기다릴게!
g_149,야 취미 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 오늘 저녁 어때? 오랜만이라 좋다!
g_150,야 사진 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 그럼 연락하자~
